diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
4.316666575012293,30.334205214945715,-85.5050844743787,sfs,,0.15314684632448916,0.035,30000000,-3059.664048979102,-2587.6355253354036,2.1583332875061463
4.396656841035048,30.35474694006047,-85.50632561647751,sfs,,0.1536668303051556,0.035,30000000,-3010.0298416390597,-2624.1772213350623,2.198328420517524
4.281256340234837,30.35408191839641,-85.50706853129081,sfs,,0.08544340465141431,0.02,30000000,-3011.1125783838174,-2646.7342744805155,2.1406281701174183
4.587245329691585,30.35229115451761,-85.50733586185498,sfs,,0.09401837013956538,0.02,35000000,-3015.186315390285,-2654.932549413838,2.2936226648457927
4.322471704117875,30.354957322153794,-85.50739563819494,sfs,,0.07060025339160347,0.016,30000000,-3008.8150253265035,-2656.6050097105135,2.1612358520589376
4.206885368606307,30.3590301990537,-85.50796798774964,sfs,,0.12956256004054012,0.031,30000000,-2998.7620123709494,-2673.7435307190317,2.1034426843031535
3.5326786323165664,30.355138983021025,-85.50939603304401,sfs,,0.07108583452099992,0.02,26000000,-3007.04694012818,-2717.2395264492643,1.7663393161582832
8.550477175149426,30.37474519413735,-85.50705864391506,sfs,,0.23710054271577974,0.028,59000000,-2962.046945777499,-2645.360813305857,4.275238587574713
3.394462423368656,30.401498592349874,-85.51024032527903,sfs,,0.14494410302904726,0.043,23000000,-2896.462730798981,-2740.4544673030787,1.697231211684328
5.420047520041583,30.394556747945675,-85.50856840159295,sfs,,0.16363328701118007,0.03,40000000,-2914.0195989429153,-2690.11845634154,2.7100237600207917
4.137274510646721,30.402120310252972,-85.50919753267664,sfs,,0.11221891135210171,0.027,30000000,-2895.658237543442,-2708.8092566971945,2.0686372553233605
3.692583550766367,30.39614368623012,-85.50799662736912,sfs,,0.19452841065049142,0.053,17000000,-2910.621777194796,-2672.703859951193,1.8462917753831836
3.607284958627556,30.390465749329643,-85.50717017742244,sfs,,0.19718508805817692,0.055,16000000,-2924.640229694872,-2647.937048750547,1.803642479313778
4.057317462148224,30.39546322157158,-85.50710028827721,sfs,,0.19171659549647302,0.047,28000000,-2912.8173485966804,-2645.5644760862683,2.028658731074112
3.8376264368697877,30.395585652175978,-85.50665480336046,sfs,,0.1525739559219801,0.04,26000000,-2912.81477017841,-2632.0527333707287,1.9188132184348938
5.828026284196851,30.401657297830223,-85.5067760479069,sfs,,0.22259031740122737,0.038,40000000,-2898.3159826236542,-2635.4215072083925,2.9140131420984257
4.0746549225602795,30.403604340527288,-85.50573092295485,sfs,,0.17997433188975265,0.044,30000000,-2894.3633395648494,-2603.6387904342123,2.0373274612801398
3.367346351556452,30.411277357830897,-85.50640562524688,sfs,,0.13069910281774355,0.039,26000000,-2875.7045148988022,-2623.708331850403,1.683673175778226
6.585692808146785,30.415937451345847,-85.50653731548663,sfs,,0.2504184199415249,0.038,46000000,-2864.5518948790314,-2627.4680360129523,3.2928464040733925
5.82392997703152,30.411443705417955,-85.50698312699312,sfs,,0.18253134419410344,0.031,40000000,-2874.940653692058,-2641.2079365904833,2.91196498851576
