label,score,col,row,width,height,lon,lat,diameter
crater,0.97,631,696,2,2,28.2148914337,-85.1633377075,1
crater,0.98,631,698,2,2,28.21484375,-85.1634063721,1
crater,0.98,631,702,2,2,28.2147521973,-85.1635360718,1
crater,0.97,294,403,2,2,28.0903663635,-85.1530227661,1
crater,0.95,72,438,2,2,28.0030345917,-85.153717041,1
crater,0.98,455,487,2,2,28.1511096954,-85.1561126709,1
crater,0.97,453,496,2,2,28.1501197815,-85.1564025879,1
crater,0.95,421,526,2,2,28.1369342804,-85.1573257446,1
crater,0.98,252,621,2,2,28.0687503815,-85.1601104736,1
crater,0.98,4,631,2,2,27.9717636108,-85.1599273682,1
crater,0.96,545,647,2,2,28.1824607849,-85.1615600586,1
crater,0.97,1,653,2,2,27.9700489044,-85.1606521606,1
crater,0.96,153,660,2,2,28.0291786194,-85.1611938477,1
crater,0.95,311,738,2,2,28.0889587402,-85.1640853882,1
crater,0.95,280,770,2,2,28.076084137,-85.1650772095,1
crater,0.96,636,24,2,2,28.2323303223,-85.1412277222,1
crater,0.98,541,2,2,2,28.1959171295,-85.1403198242,1
crater,0.95,102,73,2,2,28.0236339569,-85.1417694092,1
crater,0.99,39,182,2,2,27.9964752197,-85.1452255249,1
crater,0.97,12,247,2,2,27.984375,-85.1473083496,1
crater,0.99,1,248,2,2,27.9800701141,-85.147315979,1
crater,0.98,193,336,2,2,28.0526447296,-85.1506118774,1
crater,0.99,174,346,2,2,28.0450057983,-85.1509017944,1
crater,0.98,242,347,2,2,28.0714588165,-85.1510772705,1
crater,0.97,339,354,2,2,28.1090641022,-85.1515045166,1
crater,0.98,271,367,2,2,28.0822715759,-85.1517944336,1
crater,0.99,1294,820,4,4,28.4711589813,-85.1686706543,2
crater,0.96,1201,824,4,4,28.4347133636,-85.1686325073,2
crater,0.99,1312,855,4,4,28.4774475098,-85.1698532104,2
crater,0.99,1268,865,4,4,28.4600257874,-85.1701049805,2
crater,1,1236,865,4,4,28.447511673,-85.1700439453,2
crater,0.99,1246,879,4,4,28.4511184692,-85.1705245972,2
crater,1,1223,882,4,4,28.4420585632,-85.1705780029,2
crater,1,1245,886,4,4,28.4505767822,-85.170753479,2
crater,0.98,1217,912,4,4,28.4390621185,-85.1715545654,2
crater,0.99,1242,923,4,4,28.4486045837,-85.1719665527,2
crater,0.99,1335,924,4,4,28.4849681854,-85.172164917,2
crater,1,1228,934,4,4,28.4428882599,-85.1723022461,2
crater,0.97,1345,940,4,4,28.4885387421,-85.1727142334,2
crater,0.98,1200,945,4,4,28.4316940308,-85.1726150513,2
crater,0.97,1216,951,4,4,28.4378242493,-85.1728363037,2
crater,0.96,1285,950,4,4,28.4648456573,-85.1729354858,2
crater,0.99,1341,951,4,4,28.486738205,-85.1730651855,2
crater,0.97,1280,957,4,4,28.4627399445,-85.1731567383,2
crater,0.97,1300,965,4,4,28.4703941345,-85.1734542847,2
crater,0.98,1356,987,4,4,28.4918403625,-85.1742782593,2
crater,0.98,1381,1006,4,4,28.5012226105,-85.174949646,2
crater,0.98,1343,1009,4,4,28.4862823486,-85.1749801636,2
crater,0.99,1275,1015,4,4,28.4595317841,-85.1750564575,2
crater,0.96,1343,1016,4,4,28.4861316681,-85.1752090454,2
crater,0.98,1265,1022,4,4,28.4554672241,-85.1752700806,2
crater,0.96,1343,1039,4,4,28.4856414795,-85.1759643555,2
crater,1,1268,1041,4,4,28.4562320709,-85.1758956909,2
crater,1,1273,1047,4,4,28.4580593109,-85.1761016846,2
crater,0.99,1358,1048,4,4,28.4913215637,-85.1762924194,2
crater,1,1259,1057,4,4,28.4523620605,-85.1764068604,2
crater,1,1354,1058,4,4,28.4895420074,-85.176612854,2
crater,0.98,1344,1071,4,4,28.4853477478,-85.1770248413,2
crater,0.98,1284,1081,4,4,28.4616336823,-85.1772460938,2
crater,0.99,1298,1084,4,4,28.4670524597,-85.1773681641,2
crater,1,1315,1084,4,4,28.4737110138,-85.1773986816,2
crater,0.99,1414,1086,4,4,28.5124454498,-85.1776428223,2
crater,0.99,1255,1094,4,4,28.4499950409,-85.1776199341,2
crater,0.98,1295,1097,4,4,28.4655971527,-85.1777877808,2
crater,0.97,1108,800,4,4,28.3988838196,-85.1676712036,2
crater,0.95,711,821,4,4,28.2432537079,-85.1676101685,2
crater,0.98,772,830,4,4,28.2668876648,-85.1680221558,2
crater,1,1041,829,4,4,28.3720550537,-85.1685028076,2
crater,0.99,934,836,4,4,28.330072403,-85.1685333252,2
crater,1,1004,838,4,4,28.3573913574,-85.1687240601,2
crater,0.97,1143,841,4,4,28.4116668701,-85.1690826416,2
crater,0.99,1035,841,4,4,28.3694438934,-85.1688842773,2
crater,0.96,769,844,4,4,28.2653961182,-85.1684799194,2
crater,0.97,1131,844,4,4,28.4069099426,-85.1691589355,2
crater,0.99,790,845,4,4,28.2735805511,-85.168548584,2
crater,1,1026,846,4,4,28.365814209,-85.1690292358,2
crater,0.99,1195,846,4,4,28.4318904877,-85.169342041,2
crater,1,817,851,4,4,28.2839984894,-85.168800354,2
crater,0.98,1121,853,4,4,28.402803421,-85.1694412231,2
crater,0.99,831,855,4,4,28.2893810272,-85.1689605713,2
crater,0.99,809,859,4,4,28.2806892395,-85.169052124,2
crater,0.98,1106,861,4,4,28.3967628479,-85.1696777344,2
crater,0.99,995,868,4,4,28.3532066345,-85.1697006226,2
crater,0.97,999,873,4,4,28.3546581268,-85.1698684692,2
crater,0.97,649,874,4,4,28.217798233,-85.1692352295,2
crater,1,787,874,4,4,28.2717475891,-85.1695022583,2
crater,0.97,1166,876,4,4,28.4198970795,-85.1702804565,2
crater,0.99,1048,876,4,4,28.373752594,-85.1700592041,2
crater,0.96,1141,881,4,4,28.4100112915,-85.1703948975,2
crater,0.98,1191,883,4,4,28.4295215607,-85.1705551147,2
crater,0.98,847,885,4,4,28.2949562073,-85.1699752808,2
crater,0.99,1068,885,4,4,28.3813743591,-85.1703948975,2
crater,0.95,1159,888,4,4,28.4168968201,-85.1706619263,2
crater,0.99,881,890,4,4,28.3081378937,-85.1702041626,2
crater,1,930,891,4,4,28.3272762299,-85.1703338623,2
crater,0.99,810,899,4,4,28.2801704407,-85.1703643799,2
crater,0.98,1091,900,4,4,28.390039444,-85.1709289551,2
crater,0.99,1079,901,4,4,28.3853244781,-85.1709442139,2
crater,0.98,1023,904,4,4,28.3633556366,-85.1709365845,2
crater,0.97,639,909,4,4,28.2130775452,-85.1703643799,2
crater,0.99,703,910,4,4,28.238079071,-85.1705245972,2
crater,1,763,912,4,4,28.2614955902,-85.1707077026,2
crater,0.98,730,914,4,4,28.248544693,-85.1707077026,2
crater,0.98,896,914,4,4,28.3134613037,-85.1710281372,2
crater,0.97,983,924,4,4,28.3472652435,-85.1715164185,2
crater,0.98,1130,921,4,4,28.40483284,-85.1716918945,2
crater,1,913,922,4,4,28.3199310303,-85.1713180542,2
crater,1,1076,923,4,4,28.3836650848,-85.171661377,2
crater,0.98,1184,924,4,4,28.4258918762,-85.1718902588,2
crater,0.99,1079,927,4,4,28.3847503662,-85.1717987061,2
crater,0.99,784,931,4,4,28.2692737579,-85.17137146,2
crater,0.99,1150,935,4,4,28.4123497009,-85.1721954346,2
crater,0.99,1195,935,4,4,28.4299564362,-85.1722717285,2
crater,1,1154,936,4,4,28.413892746,-85.1722335815,2
crater,0.97,826,940,4,4,28.2854957581,-85.1717453003,2
crater,0.96,1061,941,4,4,28.3773994446,-85.1722259521,2
crater,0.98,658,942,4,4,28.2197418213,-85.1714935303,2
crater,0.99,664,946,4,4,28.2219963074,-85.1716308594,2
crater,0.99,974,947,4,4,28.3432312012,-85.1722564697,2
crater,1,798,950,4,4,28.2743148804,-85.1720275879,2
crater,0.99,1110,949,4,4,28.3963947296,-85.1725769043,2
crater,1,654,953,4,4,28.2179222107,-85.1718444824,2
crater,0.99,738,953,4,4,28.2507781982,-85.1720046997,2
crater,0.99,908,955,4,4,28.317232132,-85.1724014282,2
crater,0.99,1043,955,4,4,28.3700485229,-85.1726531982,2
crater,0.99,843,958,4,4,28.2917366028,-85.1723709106,2
crater,1,719,960,4,4,28.2431850433,-85.172203064,2
crater,0.99,1107,963,4,4,28.3949127197,-85.173034668,2
crater,0.96,993,968,4,4,28.3501968384,-85.1729888916,2
crater,0.98,1019,974,4,4,28.3602352142,-85.1732330322,2
crater,0.96,855,975,4,4,28.2960453033,-85.172958374,2
crater,0.99,853,980,4,4,28.2951507568,-85.1731185913,2
crater,1,1107,984,4,4,28.3944511414,-85.1737289429,2
crater,0.99,601,984,4,4,28.1964702606,-85.1727600098,2
crater,0.98,730,991,4,4,28.2467746735,-85.1732406616,2
crater,0.96,1029,1001,4,4,28.3635501862,-85.1741409302,2
crater,0.99,1165,1002,4,4,28.4167556763,-85.1744232178,2
crater,0.97,857,1002,4,4,28.2962169647,-85.1738510132,2
crater,1,959,1002,4,4,28.3361320496,-85.174041748,2
crater,1,1051,1004,4,4,28.3720932007,-85.1742782593,2
crater,0.96,1140,1004,4,4,28.4069271088,-85.174446106,2
crater,1,882,1006,4,4,28.3059082031,-85.1740264893,2
crater,1,662,1011,4,4,28.219707489,-85.1737670898,2
crater,0.99,1185,1013,4,4,28.4243450165,-85.1748275757,2
crater,0.98,971,1015,4,4,28.3405380249,-85.1744918823,2
crater,0.95,910,1018,4,4,28.3165969849,-85.1744766235,2
crater,0.97,818,1019,4,4,28.2805690765,-85.174331665,2
crater,1,608,1020,4,4,28.1983680725,-85.1739578247,2
crater,0.99,936,1022,4,4,28.3266830444,-85.174659729,2
crater,0.99,1064,1021,4,4,28.3768043518,-85.1748657227,2
crater,0.99,868,1025,4,4,28.3000011444,-85.1746292114,2
crater,0.98,790,1028,4,4,28.269405365,-85.1745758057,2
crater,1,798,1033,4,4,28.2724227905,-85.1747589111,2
crater,1,970,1038,4,4,28.3396320343,-85.1752471924,2
crater,0.97,1076,1034,4,4,28.3812160492,-85.1753158569,2
crater,0.97,1152,1038,4,4,28.4108791351,-85.1755905151,2
crater,0.99,600,1040,4,4,28.194770813,-85.1745986938,2
